프로젝트 제목,타입,금액,기간,유형,레벨,기술들,위치
서버형 AI모델의 On-device AI모델 전환,"예상 금액4,000,000원","4,000,000원",30일,,,"['Android', 'iOS', 'Python', 'TensorFlow-Lite']",서울특별시 강남구
대기업 커머스 개발 프로젝트 Frontend 개발,"월 금액6,000,000","6,000,000",150일,프론트엔드 개발자,미드 레벨,"['React · 경력 무관', 'HTML · 경력 무관', 'CSS · 경력 무관', 'JavaScript · 경력 무관', 'NextJS · 경력 무관', 'TailwindCSS · 경력 무관', 'TypeScript · 경력 무관']",서울특별시 마포구
운영중인 웹 메인페이지 1P 디자인 리뉴얼,"예상 금액300,000원","300,000원",2일,,,[],서울특별시 서초구
음악 창작/연주 서비스 백엔드 개발,"월 금액4,000,000","4,000,000",60일,백엔드 개발자,주니어,"['aws lambda · 경력 무관', 'AWS S3 · 경력 무관', 'WebSocket · 경력 무관', 'Node.js · 경력 무관', 'EC2 · 경력 무관', 'Redis · 경력 무관']",서울특별시 강남구
음원 스트리밍 서비스 관련 컨설팅,"예상 금액250,000원","250,000원",1일,,,[],서울특별시 강남구
웹 기반 렌탈 기업 사내 ERP 구축,"예상 금액80,000,000원","80,000,000원",120일,,,"['AWS', 'Java']",서울특별시 서대문구
AI 빅데이터 플랫폼 UI/UX 디자인 및 퍼블리싱,"월 금액5,500,000","5,500,000",210일,UI/UX 디자이너,미드 레벨,"['Adobe Photoshop · 경력 무관', 'Figma · 경력 무관', 'HTML · 경력 무관', 'CSS · 경력 무관', 'JavaScript · 경력 무관']",서울특별시 중구
상용 솔루션 기능 고도화를 위한 Back-end API 개발,"월 금액7,000,000","7,000,000",60일,백엔드 개발자,미드 레벨,"['Python · 3년 이상', 'SQLAlchemy ORM · 경력 무관', 'fastapi · 경력 무관', 'celery · 경력 무관', 'Docker · 경력 무관', 'Git · 경력 무관', 'Kafka · 경력 무관']",경기도 성남시 수정구
한의원 문자 발송 및 포인트 프로그램 개발,"예상 금액18,000,000원","18,000,000원",60일,,,[],서울특별시 강남구
온라인 생활기록부 첨삭 AI 챗봇 및 서비스 개발,"예상 금액10,000,000원","10,000,000원",60일,,,[],서울특별시 영등포구
제품 제어(블루투스) 및 데이터 송수신 Flutter 앱 개발,"예상 금액5,000,000원","5,000,000원",30일,,,[],대전광역시 유성구
펜션 예약 관리 서비스 반응형 웹 구축,"예상 금액20,000,000원","20,000,000원",60일,,,[],서울특별시 강남구
AI 혼합모델링 기반 스마트진단 LED 전광판 개발,"예상 금액60,000,000원","60,000,000원",100일,,,['Windows'],서울특별시 금천구
Flutter 기반 지자체 앱/웹 고도화 개발,"월 금액6,000,000","6,000,000",60일,프론트엔드 개발자,미드 레벨,['Flutter · 2년 이상'],서울특별시 강남구
음악 메타버스 Unity 클라이언트 개발,"월 금액5,000,000","5,000,000",60일,프론트엔드 개발자,미드 레벨,"['C# · 경력 무관', 'C++ · 경력 무관', 'Unity · 경력 무관']",서울특별시 강남구
Paradox DB을 MDB로 연동,"예상 금액500,000원","500,000원",1일,,,"['mdb', 'Paradox']",경기도 안산시 상록구
블록체인 기반 논문 인용 및 표절 체크 솔루션 기획,"예상 금액2,500,000원","2,500,000원",14일,,,['Figma'],서울특별시 강남구
공공기관 시설관리시스템 유지보수,"월 금액2,800,000","2,800,000",360일,백엔드 개발자,주니어,"['Java · 경력 무관', 'Linux · 경력 무관', '전자정부프레임워크 · 경력 무관', 'cubrid · 경력 무관']",세종특별자치시 세종시
LG전자 I/F 개선 대응 백엔드 개발,"월 금액7,000,000","7,000,000",120일,백엔드 개발자,시니어,"['Spring Boot · 5년 이상', 'Spring · 5년 이상', 'Java · 8년 이상', 'JSP · 5년 이상', 'PL/SQL · 8년 이상']",서울특별시 마포구
FoxPro DB을 MDB로 연동,"예상 금액500,000원","500,000원",1일,,,"['foxpro', 'mdb']",경기도 안산시 상록구
"위, 대장 2D/3D 디자인","예상 금액1,500,000원","1,500,000원",10일,,,[],서울특별시 서초구
웹 기반 3D 부지 BIM 모델링(토공 작업) 기능 개발,"예상 금액30,000,000원","30,000,000원",60일,,,"['CesiumJS', 'Nginx', 'Node.js', 'pm2', 'PostgreSQL', 'React', 'SuperMap iServer']",서울특별시 성동구
Cloud 마이그레이션  AA,"월 금액12,000,000","12,000,000",180일,AA (애플리케이션 아키텍트),시니어,"['Java · 5년 이상', 'Azure · 10년 이하', 'Spring · 5년 이상']",서울특별시 서초구
iOS 휴대폰 정보를 수집 및 관리하는 솔루션 개발,"예상 금액35,000,000원","35,000,000원",60일,,,"['iOS', '.Net']",경기도 용인시 수지구
커뮤니티 MVP 서비스 모바일 웹 퍼블리싱,"예상 금액1,500,000원","1,500,000원",15일,,,[],대전광역시 대덕구
1:1 개인화 영상 거래 및 쇼핑몰 서비스 구축,"예상 금액50,000,000원","50,000,000원",90일,,,[],서울특별시 강남구
ASP.NET MVC 기반 웹 포탈 개발,"월 금액6,000,000","6,000,000",150일,풀스택 개발자,미드 레벨,"['.Net · 10년 이하', '.NET MVC 4 · 10년 이하']",경기도 용인시 기흥구
"한국어, 일어 폰트 디자인 및 개발","예상 금액30,000,000원","30,000,000원",90일,,,[],서울특별시 강남구
캐릭터와 이야기를 나눌 수 있는 AI 기반 서비스 구축,"예상 금액70,000,000원","70,000,000원",120일,,,[],서울특별시 종로구
안드로이드 프레임워크 및 BSP 개발,"예상 금액13,000,000원","13,000,000원",30일,,,"['Android', 'bsp', 'Device Driver', 'embedded linux', 'kernel']",서울특별시 양천구
"데이터 판매 반응형 웹 디자인, 개발","예상 금액25,000,000원","25,000,000원",60일,,,[],서울특별시 강남구
운영중인 Android 및 iOS 앱 Flutter 기반으로 리뉴얼 개발(상주 필요),"예상 금액60,000,000원","60,000,000원",90일,,,[],서울특별시 영등포구
SK그룹 글로벌 물류 회사 홈페이지 제작,"예상 금액10,000,000원","10,000,000원",30일,,,[],경기도 성남시 분당구
거래소 기반 자동매매 및 레퍼럴 시스템 구축,"예상 금액17,000,000원","17,000,000원",90일,,,[],서울특별시 강남구
운영 중인 관리 웹 대시보드 Frontend 개발 및 유지보수,"월 금액6,000,000","6,000,000",30일,프론트엔드 개발자,미드 레벨,"['next.js · 3년 이상', 'JavaScript · 3년 이상', 'TypeScript · 3년 이상']",서울특별시 서초구
마케팅 순위 추적 및 게시판형 커뮤니티 웹 구축,"예상 금액10,000,000원","10,000,000원",30일,,,[],서울특별시 강남구
LS증권 국내선물 코스피200 자동 매매 프로그램 설계 및 개발,"예상 금액2,000,000원","2,000,000원",10일,,,[],서울특별시 양천구
Next.js/React.js/Java/SpringBoot ERP 구축 PL 및 개발,"월 금액8,000,000","8,000,000",150일,PL (프로젝트 리더),시니어,"['next.js · 3년 이상', 'React · 3년 이상', 'Java · 3년 이상', 'Spring Boot · 3년 이상']",서울특별시 서초구
eGov 기반 업무시스템 기능 개선/오류 수정 백엔드 개발,"월 금액4,500,000","4,500,000",30일,백엔드 개발자,미드 레벨,"['Java · 4년 이하', 'Spring · 4년 이하', '전자정부표준프레임워크 · 4년 이하']",서울특별시 금천구
AI 빅데이터 분석 플랫폼 구축 PM,"월 금액8,000,000","8,000,000",210일,PM (프로덕트 매니저),시니어,[],서울특별시 송파구
정비사업 전자투표 시스템 반응형 웹 구축,"예상 금액30,000,000원","30,000,000원",60일,,,[],경기도 안양시 만안구
자율주행 차량용 HMI 대시보드 개발,"예상 금액45,000,000원","45,000,000원",90일,,,[],경기도 시흥시
Webflow 기반 기업 홈페이지 개발,"예상 금액4,000,000원","4,000,000원",10일,,,['Webflow'],서울특별시 용산구
VAN  결제 시스템 구축 백엔드 설계/개발(재택 근무),"월 금액10,000,000","10,000,000",60일,백엔드 개발자,미드 레벨 외 1개,[],
플래시로 개발된 이러닝파일을 HTML5로 변환,"예상 금액5,000,000원","5,000,000원",60일,,,"['Animate CC', 'Flash', 'HTML5']",충청남도 천안시 서북구
삼양식품 홈페이지 부분 리뉴얼,"예상 금액4,000,000원","4,000,000원",30일,,,"['CSS', 'Figma', 'HTML', 'Zeplin']",서울특별시 성북구
웹사이트 기능 수정 및 오류 개선,"예상 금액1,500,000원","1,500,000원",15일,,,[],경상남도 창원시 마산회원구
설계 도면 시스템 JAVA 기반 웹으로 컨버팅,"월 금액7,500,000","7,500,000",90일,풀스택 개발자,시니어,"['Java · 경력 무관', 'Spring MVC · 경력 무관', 'HTML · 경력 무관', 'CSS · 경력 무관', 'JavaScript · 경력 무관', '전자정부프레임워크 · 경력 무관']",경상남도 창원시
PDF/엑셀 파일에서 데이터 추출하여 엑셀 문서로 정리,"예상 금액500,000원","500,000원",2일,,,['Windows'],서울특별시 도봉구
카페24 기반 자사몰 반응형 웹 구축,"예상 금액7,000,000원","7,000,000원",45일,,,[],서울특별시 강동구
HR SaaS 플랫폼 UI/UX 디자인,"예상 금액10,000,000원","10,000,000원",60일,,,['Figma'],경기도 성남시 분당구
"AI 기반 제작, 편집, 판매 웹 디자인","예상 금액4,000,000원","4,000,000원",30일,,,['Figma'],서울특별시 강남구
웹 기반 관리 시스템 서비스 기획( 주 2회 재택 가능 ),"월 금액5,000,000","5,000,000",90일,서비스 기획자,미드 레벨,['PowerPoint · 경력 무관'],서울특별시 강남구
이커머스 패키징 앱 운영을 위한 서버 및 환경 구축,"예상 금액2,500,000원","2,500,000원",14일,,,"['Android', 'AWS', 'Firebase', 'Flutter', 'iOS']",서울특별시 강남구
운영중인 Android 앱  Google Play 오류 사항 수정,"예상 금액250,000원","250,000원",1일,,,[],서울특별시 강남구
VR 방탈출 추리 퍼즐 게임 시나리오 작가 구인,"예상 금액3,000,000원","3,000,000원",30일,,,[],서울특별시 구로구
"방사선 조사 프로그램 수정, 보완","예상 금액10,000,000원","10,000,000원",30일,,,['C++'],대전광역시 유성구
법무법인 홈페이지 22개 관리/유지보수,"예상 금액36,000,000원","36,000,000원",365일,,,[],서울특별시 서초구
야놀자와 유사한 숙박 앱 구축,"예상 금액100,000,000원","100,000,000원",180일,,,[],서울특별시 강서구
사내 기사 차량 관제 웹 및 앱 구축,"예상 금액15,000,000원","15,000,000원",45일,,,"['Android', 'iOS']",서울특별시 금천구
굿즈 제작 쇼핑몰 소개 및 홍보 모션 그래픽 제작,"예상 금액7,000,000원","7,000,000원",20일,,,[],서울특별시 마포구
카페24 기반 쇼핑몰 API 연동 개발,"예상 금액5,000,000원","5,000,000원",30일,,,['Cafe24'],서울특별시 강남구
래퍼런스와 동일한 텔레그램 미니앱 게임 개발,"예상 금액10,000,000원","10,000,000원",28일,,,[],서울특별시 강남구
디지털 컨텐츠 마켓 플레이스 웹 UI/UX 기획 및 디자인 리뉴얼,"예상 금액4,000,000원","4,000,000원",14일,,,['Figma'],대구광역시 남구
Flutter 기반 틀린그림찾기 게임과 리워드 시스템 앱 개발,"예상 금액10,000,000원","10,000,000원",50일,,,"['Firebase', 'Flutter']",서울특별시 마포구
암호화화폐 자동매매 및 화면 모니터링 모바일앱,"예상 금액12,000,000원","12,000,000원",60일,,,[],인천광역시 부평구
보건일지 웹 프로그램 재개발,"예상 금액15,000,000원","15,000,000원",60일,,,"['AWS', 'Delphi', 'Figma', 'Java', 'PHP']",경기도 화성시
폐쇄형 온라인 교육 서비스 추가 기능 개발/업데이트,"예상 금액10,909,091원","10,909,091원",60일,,,"['AWS', 'CSS', 'Figma', 'HTML', 'JavaScript', 'MySQL', 'NextJS', 'Node.js']",서울특별시 마포구
장비와 데이터 송수신 VS2010/Visual Basic 윈도우 프로그램 개발,"예상 금액1,200,000원","1,200,000원",5일,,,"['VisualBasic', 'VisualStudio']",서울특별시 구로구
ChatGPT 기반 정보 제공 챗봇 구축,"예상 금액18,000,000원","18,000,000원",60일,,,"['Android', 'iOS']",경기도 고양시 덕양구
"Cafe24 기반 자사몰 반응형 웹 구축 및 브랜딩, 패키징 앱 개발","예상 금액10,000,000원","10,000,000원",60일,,,"['Android', 'Cafe24', 'iOS', '아임웹']",경기도 고양시 일산동구
금융권 챗봇 고도화 (기획 및 학습),"월 금액3,500,000","3,500,000",150일,서비스 기획자,주니어,"['Excel · 경력 무관', 'Microsoft365 · 경력 무관', 'PowerPoint · 경력 무관']",서울특별시 마포구
수제화 모바일 쇼핑몰 Android 및 iOS 앱 디자인 및 개발,"예상 금액10,000,000원","10,000,000원",30일,,,"['Android', 'iOS']",서울특별시 관악구
자사 솔루션 신규 개발 및 수정 개발,"월 금액8,000,000","8,000,000",180일,풀스택 개발자,미드 레벨,"['C++ · 경력 무관', 'MFC · 경력 무관']",경기도 고양시 일산동구
FCM HTTP v1 마이그레이션,"예상 금액2,000,000원","2,000,000원",10일,,,"['Apache', 'fcm', 'Tomcat']",서울특별시 강남구
상표 출원 신청/대행 반응형 웹 구축,"예상 금액10,000,000원","10,000,000원",50일,,,[],부산광역시 금정구
약물과민반응 발생 위험 예측 및 안내 프로그램 개발,"예상 금액2,500,000원","2,500,000원",14일,,,"['Python', 'Windows']",서울특별시 종로구
모니터 절전 컨트롤 펌웨어 혹은 임베디드SW 개발,"예상 금액10,000,000원","10,000,000원",60일,,,[],대구광역시 동구
PC 기준 쇼핑몰의 모바일 웹 버전 디자인,"예상 금액2,500,000원","2,500,000원",14일,,,['Figma'],서울특별시 마포구
Angular 기반 수강신청 시뮬레이션 지원 서비스 Frontend 개발,"월 금액6,500,000","6,500,000",180일,프론트엔드 개발자,미드 레벨,['Angular · 경력 무관'],경기도 수원시 영통구
웹 서비스 UI/UX 개선 프로덕트 디자이너 구인,"월 금액5,000,000","5,000,000",90일,UI/UX 디자이너,미드 레벨,['Figma · 경력 무관'],서울특별시 성동구
사내 통합 시스템 서비스 개편 기획/설계(초기 1개월 상주 필요/협의 가능),"예상 금액30,000,000원","30,000,000원",90일,,,['Figma'],서울특별시 강남구
이커머스 통합관리 SaaS기반 솔루션(일본) 구축,"예상 금액150,000,000원","150,000,000원",120일,,,[],해외 해외
모바일쿠폰 발송 및 관리 시스템 Back-End 개발,"예상 금액20,000,000원","20,000,000원",60일,,,"['Java', 'Jenkins', 'MySQL', 'Spring Boot', 'Ubuntu']",서울특별시 송파구
AI 서비스 연동 홈페이지 구축,"예상 금액80,000,000원","80,000,000원",100일,,,[],서울특별시 강남구
스마트 안전기기용 IoT 임베디드 솔루션,"예상 금액15,000,000원","15,000,000원",50일,,,[],서울특별시 금천구
신규 개발중인 서비스 내 사용자 1:1 채팅 및 쪽지 기능 디자인 및 개발,"예상 금액30,000,000원","30,000,000원",60일,,,"['AWS', 'Docker', 'Figma', 'Nestjs', 'NextJS', 'React Native']",경기도 성남시 분당구
Unity 를 이용한 인터렉티브 콘텐츠 개발,"예상 금액6,000,000원","6,000,000원",20일,,,"['Unity', 'Windows']",부산광역시 해운대구
웹크롤링 후 생성된 AI(인물)에게 고유 사진 변형하여 합성 후 사진 등록,"예상 금액10,000,000원","10,000,000원",30일,,,[],경기도 하남시
YOLO V5 기반 시스템 버전업 및 고도화,"월 금액4,500,000","4,500,000",30일,AI/ML/Data 엔지니어,미드 레벨,['YOLO · 경력 무관'],서울특별시 금천구
임베디드 기반 개발 업무 지원,"월 금액5,500,000","5,500,000",150일,풀스택 개발자,미드 레벨,['C# · 경력 무관'],서울특별시 성북구
기업 내 업무용 엑셀 기반 VBA 프로그램 개발,"월 금액8,000,000","8,000,000",90일,프론트엔드 개발자,미드 레벨,"['vba · 3년 이상', 'Python · 3년 이상', 'SQL · 3년 이상']",경기도 성남시 분당구
